i1	V(N001,N002)	V(N002,N003)	V(N003,N004)	V(n004)
6.400000000000004e-003	7.031317e-001	3.018440e+000	6.719263e-001	1.889933e-001
6.500000000000004e-003	7.035329e-001	3.021728e+000	6.726857e-001	1.895463e-001
6.600000000000004e-003	7.039278e-001	3.024974e+000	6.734343e-001	1.900910e-001
6.700000000000005e-003	7.043169e-001	3.028180e+000	6.741726e-001	1.906276e-001
6.800000000000005e-003	7.047000e-001	3.031347e+000	6.749007e-001	1.911563e-001
6.900000000000005e-003	7.050776e-001	3.034475e+000	6.756191e-001	1.916775e-001
7.000000000000005e-003	7.054498e-001	3.037568e+000	6.763279e-001	1.921912e-001
7.100000000000006e-003	7.058165e-001	3.040624e+000	6.770275e-001	1.926978e-001
7.200000000000006e-003	7.061784e-001	3.043645e+000	6.777181e-001	1.931974e-001
7.300000000000006e-003	7.065349e-001	3.046632e+000	6.784000e-001	1.936902e-001
7.400000000000006e-003	7.068870e-001	3.049587e+000	6.790733e-001	1.941764e-001
7.500000000000007e-003	7.072344e-001	3.052509e+000	6.797384e-001	1.946562e-001
7.600000000000007e-003	7.075765e-001	3.055401e+000	6.803954e-001	1.951297e-001
7.700000000000007e-003	7.079146e-001	3.058261e+000	6.810445e-001	1.955971e-001
7.800000000000007e-003	7.082486e-001	3.061092e+000	6.816861e-001	1.960586e-001
7.900000000000008e-003	7.085781e-001	3.063895e+000	6.823201e-001	1.965142e-001
8.000000000000007e-003	7.089033e-001	3.066669e+000	6.829469e-001	1.969643e-001
8.100000000000007e-003	7.092247e-001	3.069415e+000	6.835666e-001	1.974088e-001
8.200000000000006e-003	7.095420e-001	3.072135e+000	6.841795e-001	1.978479e-001
8.300000000000005e-003	7.098558e-001	3.074829e+000	6.847856e-001	1.982819e-001
8.400000000000005e-003	7.101655e-001	3.077497e+000	6.853851e-001	1.987107e-001
8.500000000000004e-003	7.104716e-001	3.080141e+000	6.859781e-001	1.991345e-001
8.600000000000004e-003	7.107739e-001	3.082760e+000	6.865650e-001	1.995534e-001
8.700000000000003e-003	7.110729e-001	3.085355e+000	6.871457e-001	1.999675e-001
8.800000000000002e-003	7.113688e-001	3.087927e+000	6.877204e-001	2.003770e-001
8.900000000000002e-003	7.116609e-001	3.090477e+000	6.882892e-001	2.007820e-001
9.000000000000001e-003	7.119498e-001	3.093004e+000	6.888523e-001	2.011825e-001
9.100000000000000e-003	7.122357e-001	3.095510e+000	6.894099e-001	2.015786e-001
9.200000000000000e-003	7.125185e-001	3.097994e+000	6.899619e-001	2.019705e-001
9.299999999999999e-003	7.127979e-001	3.100458e+000	6.905086e-001	2.023582e-001
9.399999999999999e-003	7.130747e-001	3.102901e+000	6.910501e-001	2.027418e-001
9.499999999999998e-003	7.133484e-001	3.105325e+000	6.915864e-001	2.031215e-001
9.599999999999997e-003	7.136192e-001	3.107729e+000	6.921177e-001	2.034972e-001
9.699999999999997e-003	7.138872e-001	3.110113e+000	6.926441e-001	2.038691e-001
9.799999999999996e-003	7.141523e-001	3.112480e+000	6.931657e-001	2.042373e-001
9.899999999999996e-003	7.144151e-001	3.114828e+000	6.936825e-001	2.046017e-001
9.999999999999995e-003	7.146749e-001	3.117158e+000	6.941948e-001	2.049626e-001
1.009999999999999e-002	7.149324e-001	3.119470e+000	6.947025e-001	2.053200e-001
1.019999999999999e-002	7.151871e-001	3.121766e+000	6.952057e-001	2.056739e-001
1.029999999999999e-002	7.154398e-001	3.124044e+000	6.957046e-001	2.060244e-001
1.039999999999999e-002	7.156897e-001	3.126306e+000	6.961993e-001	2.063715e-001
1.049999999999999e-002	7.159371e-001	3.128552e+000	6.966897e-001	2.067154e-001
1.059999999999999e-002	7.161818e-001	3.130781e+000	6.971761e-001	2.070561e-001
1.069999999999999e-002	7.164249e-001	3.132995e+000	6.976583e-001	2.073937e-001
1.079999999999999e-002	7.166657e-001	3.135194e+000	6.981367e-001	2.077282e-001
1.089999999999999e-002	7.169042e-001	3.137378e+000	6.986112e-001	2.080597e-001
1.099999999999999e-002	7.171402e-001	3.139547e+000	6.990818e-001	2.083881e-001
1.109999999999999e-002	7.173743e-001	3.141701e+000	6.995487e-001	2.087137e-001
1.119999999999999e-002	7.176061e-001	3.143841e+000	7.000119e-001	2.090364e-001
1.129999999999999e-002	7.178364e-001	3.145967e+000	7.004715e-001	2.093563e-001
1.139999999999999e-002	7.180638e-001	3.148080e+000	7.009276e-001	2.096734e-001
1.149999999999999e-002	7.182899e-001	3.150178e+000	7.013801e-001	2.099878e-001
1.159999999999999e-002	7.185140e-001	3.152264e+000	7.018293e-001	2.102995e-001
1.169999999999999e-002	7.187357e-001	3.154337e+000	7.022751e-001	2.106086e-001
1.179999999999998e-002	7.189560e-001	3.156396e+000	7.027175e-001	2.109151e-001
1.189999999999998e-002	7.191744e-001	3.158443e+000	7.031567e-001	2.112191e-001
1.199999999999998e-002	7.193909e-001	3.160478e+000	7.035928e-001	2.115206e-001
1.209999999999998e-002	7.196054e-001	3.162500e+000	7.040256e-001	2.118197e-001
1.219999999999998e-002	7.198181e-001	3.164511e+000	7.044554e-001	2.121163e-001
1.229999999999998e-002	7.200298e-001	3.166509e+000	7.048821e-001	2.124105e-001
1.239999999999998e-002	7.202392e-001	3.168496e+000	7.053058e-001	2.127025e-001
1.249999999999998e-002	7.204471e-001	3.170472e+000	7.057266e-001	2.129921e-001
1.259999999999998e-002	7.206526e-001	3.172436e+000	7.061445e-001	2.132794e-001
1.269999999999998e-002	7.208571e-001	3.174390e+000	7.065595e-001	2.135646e-001
1.279999999999998e-002	7.210603e-001	3.176332e+000	7.069717e-001	2.138475e-001
1.289999999999998e-002	7.212615e-001	3.178264e+000	7.073812e-001	2.141283e-001
1.299999999999998e-002	7.214613e-001	3.180185e+000	7.077879e-001	2.144070e-001
1.309999999999998e-002	7.216592e-001	3.182096e+000	7.081919e-001	2.146835e-001
1.319999999999998e-002	7.218561e-001	3.183996e+000	7.085934e-001	2.149580e-001
1.329999999999998e-002	7.220516e-001	3.185887e+000	7.089921e-001	2.152305e-001
1.339999999999997e-002	7.222452e-001	3.187767e+000	7.093884e-001	2.155010e-001
1.349999999999997e-002	7.224369e-001	3.189638e+000	7.097821e-001	2.157695e-001
1.359999999999997e-002	7.226281e-001	3.191499e+000	7.101734e-001	2.160361e-001
1.369999999999997e-002	7.228174e-001	3.193351e+000	7.105622e-001	2.163007e-001
1.379999999999997e-002	7.230058e-001	3.195193e+000	7.109485e-001	2.165635e-001
1.389999999999997e-002	7.231927e-001	3.197026e+000	7.113325e-001	2.168245e-001
1.399999999999997e-002	7.233777e-001	3.198850e+000	7.117141e-001	2.170835e-001
1.409999999999997e-002	7.235622e-001	3.200665e+000	7.120935e-001	2.173408e-001
1.419999999999997e-002	7.237449e-001	3.202471e+000	7.124705e-001	2.175964e-001
1.429999999999997e-002	7.239265e-001	3.204269e+000	7.128453e-001	2.178501e-001
1.439999999999997e-002	7.241063e-001	3.206058e+000	7.132179e-001	2.181021e-001
1.449999999999997e-002	7.242856e-001	3.207838e+000	7.135883e-001	2.183525e-001
1.459999999999997e-002	7.244635e-001	3.209610e+000	7.139565e-001	2.186011e-001
1.469999999999997e-002	7.246399e-001	3.211374e+000	7.143227e-001	2.188481e-001
1.479999999999997e-002	7.248154e-001	3.213130e+000	7.146867e-001	2.190934e-001
1.489999999999997e-002	7.249894e-001	3.214877e+000	7.150487e-001	2.193372e-001
1.499999999999997e-002	7.251625e-001	3.216617e+000	7.154086e-001	2.195793e-001
1.509999999999996e-002	7.253346e-001	3.218349e+000	7.157665e-001	2.198199e-001
1.519999999999996e-002	7.255049e-001	3.220073e+000	7.161224e-001	2.200589e-001
1.529999999999996e-002	7.256746e-001	3.221789e+000	7.164763e-001	2.202964e-001
1.539999999999996e-002	7.258430e-001	3.223499e+000	7.168283e-001	2.205324e-001
1.549999999999996e-002	7.260103e-001	3.225201e+000	7.171785e-001	2.207668e-001
1.559999999999996e-002	7.261767e-001	3.226895e+000	7.175266e-001	2.209999e-001
1.569999999999996e-002	7.263422e-001	3.228582e+000	7.178730e-001	2.212314e-001
1.579999999999996e-002	7.265062e-001	3.230262e+000	7.182175e-001	2.214615e-001
1.589999999999996e-002	7.266693e-001	3.231935e+000	7.185603e-001	2.216903e-001
1.599999999999996e-002	7.268319e-001	3.233601e+000	7.189012e-001	2.219176e-001
1.609999999999996e-002	7.269931e-001	3.235261e+000	7.192403e-001	2.221435e-001
1.619999999999996e-002	7.271528e-001	3.236913e+000	7.195777e-001	2.223680e-001
1.629999999999996e-002	7.273126e-001	3.238559e+000	7.199134e-001	2.225913e-001
1.639999999999996e-002	7.274704e-001	3.240198e+000	7.202473e-001	2.228131e-001
1.649999999999996e-002	7.276278e-001	3.241831e+000	7.205796e-001	2.230337e-001
1.659999999999996e-002	7.277842e-001	3.243456e+000	7.209102e-001	2.232530e-001
1.669999999999995e-002	7.279396e-001	3.245076e+000	7.212392e-001	2.234710e-001
1.679999999999995e-002	7.280936e-001	3.246690e+000	7.215665e-001	2.236877e-001
1.689999999999995e-002	7.282472e-001	3.248297e+000	7.218922e-001	2.239031e-001
1.699999999999995e-002	7.283998e-001	3.249899e+000	7.222164e-001	2.241174e-001
1.709999999999995e-002	7.285514e-001	3.251494e+000	7.225389e-001	2.243304e-001
1.719999999999995e-002	7.287021e-001	3.253083e+000	7.228600e-001	2.245422e-001
1.729999999999995e-002	7.288518e-001	3.254666e+000	7.231795e-001	2.247528e-001
1.739999999999995e-002	7.290015e-001	3.256243e+000	7.234975e-001	2.249622e-001
1.749999999999995e-002	7.291498e-001	3.257814e+000	7.238140e-001	2.251704e-001
1.759999999999995e-002	7.292967e-001	3.259380e+000	7.241290e-001	2.253775e-001
1.769999999999995e-002	7.294431e-001	3.260940e+000	7.244425e-001	2.255834e-001
1.779999999999995e-002	7.295890e-001	3.262495e+000	7.247546e-001	2.257883e-001
1.789999999999995e-002	7.297339e-001	3.264044e+000	7.250653e-001	2.259919e-001
1.799999999999995e-002	7.298779e-001	3.265587e+000	7.253745e-001	2.261945e-001
1.809999999999995e-002	7.300215e-001	3.267125e+000	7.256824e-001	2.263960e-001
1.819999999999995e-002	7.301636e-001	3.268658e+000	7.259889e-001	2.265965e-001
1.829999999999995e-002	7.303057e-001	3.270185e+000	7.262940e-001	2.267958e-001
1.839999999999994e-002	7.304468e-001	3.271707e+000	7.265977e-001	2.269941e-001
1.849999999999994e-002	7.305870e-001	3.273223e+000	7.269001e-001	2.271914e-001
1.859999999999994e-002	7.307262e-001	3.274736e+000	7.272013e-001	2.273876e-001
1.869999999999994e-002	7.308645e-001	3.276242e+000	7.275010e-001	2.275828e-001
1.879999999999994e-002	7.310028e-001	3.277744e+000	7.277995e-001	2.277769e-001
1.889999999999994e-002	7.311401e-001	3.279240e+000	7.280967e-001	2.279701e-001
1.899999999999994e-002	7.312765e-001	3.280732e+000	7.283926e-001	2.281623e-001
1.909999999999994e-002	7.314124e-001	3.282219e+000	7.286873e-001	2.283535e-001
1.919999999999994e-002	7.315474e-001	3.283701e+000	7.289807e-001	2.285438e-001
1.929999999999994e-002	7.316818e-001	3.285179e+000	7.292729e-001	2.287330e-001
1.939999999999994e-002	7.318158e-001	3.286651e+000	7.295639e-001	2.289214e-001
1.949999999999994e-002	7.319484e-001	3.288119e+000	7.298537e-001	2.291088e-001
1.959999999999994e-002	7.320805e-001	3.289583e+000	7.301423e-001	2.292952e-001
1.969999999999994e-002	7.322121e-001	3.291041e+000	7.304297e-001	2.294807e-001
1.979999999999994e-002	7.323432e-001	3.292495e+000	7.307160e-001	2.296654e-001
1.989999999999994e-002	7.324734e-001	3.293945e+000	7.310010e-001	2.298491e-001
1.999999999999993e-002	7.326035e-001	3.295390e+000	7.312850e-001	2.300319e-001
2.009999999999993e-002	7.327323e-001	3.296831e+000	7.315678e-001	2.302139e-001
2.019999999999993e-002	7.328606e-001	3.298268e+000	7.318495e-001	2.303949e-001
2.029999999999993e-002	7.329884e-001	3.299700e+000	7.321301e-001	2.305751e-001
2.039999999999993e-002	7.331157e-001	3.301128e+000	7.324096e-001	2.307544e-001
2.049999999999993e-002	7.332420e-001	3.302552e+000	7.326880e-001	2.309330e-001
2.059999999999993e-002	7.333679e-001	3.303971e+000	7.329653e-001	2.311106e-001
2.069999999999993e-002	7.334933e-001	3.305387e+000	7.332415e-001	2.312874e-001
2.079999999999993e-002	7.336178e-001	3.306799e+000	7.335167e-001	2.314634e-001
2.089999999999993e-002	7.337418e-001	3.308206e+000	7.337908e-001	2.316386e-001
2.099999999999993e-002	7.338653e-001	3.309609e+000	7.340640e-001	2.318129e-001
2.109999999999993e-002	7.339883e-001	3.311008e+000	7.343360e-001	2.319865e-001
2.119999999999993e-002	7.341104e-001	3.312404e+000	7.346071e-001	2.321592e-001
2.129999999999993e-002	7.342324e-001	3.313795e+000	7.348771e-001	2.323312e-001
2.139999999999993e-002	7.343531e-001	3.315183e+000	7.351462e-001	2.325024e-001
2.149999999999993e-002	7.344737e-001	3.316567e+000	7.354142e-001	2.326728e-001
