time	V(N002,N003)	V(n001)
5.774518749967739e-002	8.374453e-003	1.099195e+000
5.784284374967739e-002	4.389882e-004	9.189799e-001
5.794049999967739e-002	1.385808e-005	7.375197e-001
5.803815624967739e-002	4.172325e-007	5.550600e-001
5.813581249967739e-002	1.490116e-008	3.718480e-001
5.833112499967740e-002	0.000000e+000	4.161198e-003
5.852643749967740e-002	1.490116e-008	-3.635482e-001
5.862409374967740e-002	3.278255e-007	-5.467883e-001
5.872174999967740e-002	1.180172e-005	-7.292874e-001
5.881940624967740e-002	3.767312e-004	-9.107981e-001
5.891706249967740e-002	7.532299e-003	-1.091075e+000
5.901471874967740e-002	4.534632e-002	-1.269872e+000
5.911237499967741e-002	1.351588e-001	-1.446949e+000
5.921003124967741e-002	2.656108e-001	-1.622065e+000
5.930768749967741e-002	4.130976e-001	-1.794983e+000
5.950299999967741e-002	7.212272e-001	-2.133289e+000
5.979596874967742e-002	1.180765e+000	-2.618516e+000
6.008893749967742e-002	1.617696e+000	-3.071834e+000
6.038190624967742e-002	2.021997e+000	-3.487719e+000
6.067487499967743e-002	2.386778e+000	-3.861102e+000
6.096784374967743e-002	2.706593e+000	-4.187433e+000
6.126081249967744e-002	2.976963e+000	-4.462736e+000
6.155378124967744e-002	3.194234e+000	-4.683656e+000
6.184674999967744e-002	3.355528e+000	-4.847500e+000
6.213971874967745e-002	3.458732e+000	-4.952273e+000
6.243268749967745e-002	3.502504e+000	-4.996696e+000
6.272565624967744e-002	3.486278e+000	-4.980230e+000
6.301862499967742e-002	3.410264e+000	-4.903075e+000
6.331159374967740e-002	3.275448e+000	-4.766171e+000
6.360456249967739e-002	3.083589e+000	-4.571185e+000
6.389753124967737e-002	2.837213e+000	-4.320495e+000
6.419049999967735e-002	2.539614e+000	-4.017155e+000
6.448346874967734e-002	2.194884e+000	-3.664861e+000
6.477643749967732e-002	1.807994e+000	-3.267908e+000
6.506940624967730e-002	1.385072e+000	-2.831131e+000
6.536237499967729e-002	9.343575e-001	-2.359854e+000
6.565534374967727e-002	4.707552e-001	-1.859820e+000
6.575299999967726e-002	3.202187e-001	-1.687796e+000
6.585065624967726e-002	1.810948e-001	-1.513484e+000
6.594831249967725e-002	7.328874e-002	-1.337122e+000
6.604596874967725e-002	1.667464e-002	-1.158947e+000
6.614362499967724e-002	1.314372e-003	-9.792020e-001
6.624128124967724e-002	4.422665e-005	-7.981297e-001
6.633893749967723e-002	1.341105e-006	-6.159757e-001
6.643659374967723e-002	4.470348e-008	-4.329869e-001
6.672956249967721e-002	0.000000e+000	1.185046e-001
6.692487499967720e-002	1.192093e-007	4.857783e-001
6.702253124967719e-002	3.635883e-006	6.685520e-001
6.712018749967719e-002	1.201928e-004	8.504196e-001
6.721784374967718e-002	3.150880e-003	1.031135e+000
6.731549999967718e-002	2.746326e-002	1.210452e+000
6.741315624967717e-002	9.959304e-002	1.388130e+000
6.751081249967716e-002	2.191680e-001	1.563926e+000
6.760846874967716e-002	3.629984e-001	1.737602e+000
6.770612499967715e-002	5.150324e-001	1.908924e+000
6.799909374967714e-002	9.785042e-001	2.406456e+000
6.829206249967712e-002	1.427045e+000	2.874662e+000
6.858503124967710e-002	1.846820e+000	3.307838e+000
6.887799999967709e-002	2.229906e+000	3.700705e+000
6.917096874967707e-002	2.570311e+000	4.048474e+000
6.946393749967705e-002	2.863155e+000	4.346909e+000
6.975690624967704e-002	3.104427e+000	4.592371e+000
7.004987499967702e-002	3.290906e+000	4.781871e+000
7.034284374967700e-002	3.420138e+000	4.913099e+000
7.063581249967699e-002	3.490441e+000	4.984455e+000
7.092878124967697e-002	3.500901e+000	4.995070e+000
7.122174999967695e-002	3.451384e+000	4.944816e+000
7.151471874967694e-002	3.342532e+000	4.834303e+000
7.180768749967692e-002	3.175758e+000	4.664879e+000
7.210065624967690e-002	2.953251e+000	4.438609e+000
7.239362499967689e-002	2.677961e+000	4.158250e+000
7.268659374967687e-002	2.353620e+000	3.827218e+000
7.297956249967685e-002	1.984790e+000	3.449547e+000
7.327253124967684e-002	1.577028e+000	3.029840e+000
7.356549999967682e-002	1.137423e+000	2.573211e+000
7.385846874967680e-002	6.767318e-001	2.085225e+000
7.405378124967679e-002	3.697155e-001	1.745403e+000
